url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost,property_subtype,postal_code,locality,property_type
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25739,vbc25739,259000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,1.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7390/quaregnon/vbc69758,vbc69758,165000.0,3.0,114.0,Normal,2.0,,1.0,,,,,1.0,1.0,,14.0,,1.0,,,Gas,,,,,,,,,,1.0,,,226.0,,,,,,(information not available),(information not available),,,On contract,,,,39.0,,,,,,,2.0,,3.0,1.0,,,,,,750.0,No,,apartment,7390,quaregnon,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25732,vbc25732,234000.0,1.0,,New,2.0,,1.0,1.0,,,2024.0,,,,,,1.0,,,,,,,,,,,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,0.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7390/quaregnon/vbb91480,vbb91480,135000.0,,82.0,Normal,,,0.0,0.0,,,2001.0,,,,,,,,,Gas,,0.0,0.0,,,,,,,1.0,,,130.0,24.0,,,,,(information not available),(information not available),,,,,,0.0,,,,1.0,0.0,0.0,,3.0,,,,,,,,,,No,,apartment,7390,quaregnon,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25735,vbc25735,267000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,3.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25743,vbc25743,267000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,2.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25740,vbc25740,295000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,3.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/4730/hauset/vbd21170,vbd21170,313223.0,1.0,68.0,,,,1.0,0.0,,,2025.0,,1.0,,,,1.0,,,Not specified,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,,,,0.0,,,,,,,,,,,,,,,,,,No,,apartment,4730,hauset,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25742,vbc25742,275000.0,2.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,10.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,3.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
https://immovlan.be/en/detail/apartment/for-sale/7740/pecq/vbc25747,vbc25747,325000.0,3.0,,New,2.0,,1.0,0.0,,,2024.0,,,,,,1.0,,,,,,,,,,11.0,,,,,,0.0,,,,,,(information not available),(information not available),,,,,,0.0,45.0,,Double glass,,,,,1.0,,,,,,,,,,,,apartment,7740,pecq,Apartment
